id,idmachine,orders,name,unit,idproduct,w3,m1,m3,y1,y2,y3,oh,create_date,create_by,update_date,update_by,number,no
,KI1-EM-TRF-0001,,Low Voltage Winding  (ขดลวดแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,High Voltage Winding  (ขดลวดแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,Corrugated Tank (ตัวถัง และครีบระบายความร้อน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,Transformer Base  (ฐานหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,Oil Level Gauge (เกจวัดระดับนํ้ามัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,Lifting Eye (หูยกหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,Pressure Relief Device (ท่อกันระเบิด),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,Low Voltage Terminal (ขั้วต่อสายแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,High Voltage Terminal (ขั้วต่อสายแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,Low voltage Bushing (ลูกถ้วยแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,High Voltage Bushing (ลูกถ้วยแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,Arcing Horn (ล่อฟ้า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,Off-Load Tap Changer (แท็ปปรับแรงดัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0001,,Upper Steel Clamp (เหล็กหนีบแกนเหล็กด้านบน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,Low Voltage Winding  (ขดลวดแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,High Voltage Winding  (ขดลวดแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,Corrugated Tank (ตัวถัง และครีบระบายความร้อน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,Transformer Base  (ฐานหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,Oil Level Gauge (เกจวัดระดับนํ้ามัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,Lifting Eye (หูยกหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,Pressure Relief Device (ท่อกันระเบิด),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,Low Voltage Terminal (ขั้วต่อสายแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,High Voltage Terminal (ขั้วต่อสายแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,Low voltage Bushing (ลูกถ้วยแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,High Voltage Bushing (ลูกถ้วยแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,Arcing Horn (ล่อฟ้า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,Off-Load Tap Changer (แท็ปปรับแรงดัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0002,,Upper Steel Clamp (เหล็กหนีบแกนเหล็กด้านบน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,Low Voltage Winding  (ขดลวดแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,High Voltage Winding  (ขดลวดแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,Corrugated Tank (ตัวถัง และครีบระบายความร้อน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,Transformer Base  (ฐานหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,Oil Level Gauge (เกจวัดระดับนํ้ามัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,Lifting Eye (หูยกหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,Pressure Relief Device (ท่อกันระเบิด),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,Low Voltage Terminal (ขั้วต่อสายแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,High Voltage Terminal (ขั้วต่อสายแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,Low voltage Bushing (ลูกถ้วยแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,High Voltage Bushing (ลูกถ้วยแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,Arcing Horn (ล่อฟ้า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,Off-Load Tap Changer (แท็ปปรับแรงดัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0003,,Upper Steel Clamp (เหล็กหนีบแกนเหล็กด้านบน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,Low Voltage Winding  (ขดลวดแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,High Voltage Winding  (ขดลวดแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,Corrugated Tank (ตัวถัง และครีบระบายความร้อน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,Transformer Base  (ฐานหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,Oil Level Gauge (เกจวัดระดับนํ้ามัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,Lifting Eye (หูยกหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,Pressure Relief Device (ท่อกันระเบิด),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,Low Voltage Terminal (ขั้วต่อสายแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,High Voltage Terminal (ขั้วต่อสายแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,Low voltage Bushing (ลูกถ้วยแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,High Voltage Bushing (ลูกถ้วยแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,Arcing Horn (ล่อฟ้า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,Off-Load Tap Changer (แท็ปปรับแรงดัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0004,,Upper Steel Clamp (เหล็กหนีบแกนเหล็กด้านบน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,Low Voltage Winding  (ขดลวดแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,High Voltage Winding  (ขดลวดแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,Corrugated Tank (ตัวถัง และครีบระบายความร้อน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,Transformer Base  (ฐานหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,Oil Level Gauge (เกจวัดระดับนํ้ามัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,Lifting Eye (หูยกหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,Pressure Relief Device (ท่อกันระเบิด),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,Low Voltage Terminal (ขั้วต่อสายแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,High Voltage Terminal (ขั้วต่อสายแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,Low voltage Bushing (ลูกถ้วยแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,High Voltage Bushing (ลูกถ้วยแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,Arcing Horn (ล่อฟ้า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,Off-Load Tap Changer (แท็ปปรับแรงดัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0005,,Upper Steel Clamp (เหล็กหนีบแกนเหล็กด้านบน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,Low Voltage Winding  (ขดลวดแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,High Voltage Winding  (ขดลวดแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,Corrugated Tank (ตัวถัง และครีบระบายความร้อน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,Transformer Base  (ฐานหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,Oil Level Gauge (เกจวัดระดับนํ้ามัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,Lifting Eye (หูยกหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,Pressure Relief Device (ท่อกันระเบิด),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,Low Voltage Terminal (ขั้วต่อสายแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,High Voltage Terminal (ขั้วต่อสายแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,Low voltage Bushing (ลูกถ้วยแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,High Voltage Bushing (ลูกถ้วยแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,Arcing Horn (ล่อฟ้า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,Off-Load Tap Changer (แท็ปปรับแรงดัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0006,,Upper Steel Clamp (เหล็กหนีบแกนเหล็กด้านบน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0007,,Low Voltage Winding  (ขดลวดแรงตํ่า),,,,,,,,,,,,,,,
,KI1-EM-TRF-0007,,High Voltage Winding  (ขดลวดแรงสูง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0007,,Corrugated Tank (ตัวถัง และครีบระบายความร้อน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0007,,Transformer Base  (ฐานหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0007,,Oil Level Gauge (เกจวัดระดับนํ้ามัน),,,,,,,,,,,,,,,
,KI1-EM-TRF-0007,,Lifting Eye (หูยกหม้อแปลง),,,,,,,,,,,,,,,
,KI1-EM-TRF-0007,,Pressure Relief Device (ท่อกันระเบิด),,,,,,,,,,,,,,,
,KI1-EM-TRF-0007,,Low Voltage Terminal (ขั้วต่อสายแรงตํ่า),,,,,,,,,,,,,,,
