id,idmachine,orders,name,unit,idproduct,w3,m1,m3,y1,y2,y3,oh,create_date,create_by,update_date,update_by,number
,KI1-EM-ACM-0401,,โครงมอเตอร์,,,,,,,,,,,,,,
,KI1-EM-ACM-0401,,ลูกปืนหน้า (DE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0401,,ลูกปืนหลัง (NDE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0401,,ใบพัดลมระบายความร้อน ,,,,,,,,,,,,,,
,KI1-EM-ACM-0402,,โครงมอเตอร์,,,,,,,,,,,,,,
,KI1-EM-ACM-0402,,ลูกปืนหน้า (DE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0402,,ลูกปืนหลัง (NDE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0402,,ใบพัดลมระบายความร้อน ,,,,,,,,,,,,,,
,KI1-EM-ACM-0403,,โครงมอเตอร์,,,,,,,,,,,,,,
,KI1-EM-ACM-0403,,ลูกปืนหน้า (DE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0403,,ลูกปืนหลัง (NDE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0403,,ใบพัดลมระบายความร้อน ,,,,,,,,,,,,,,
,KI1-EM-ACM-0404,,โครงมอเตอร์,,,,,,,,,,,,,,
,KI1-EM-ACM-0404,,ลูกปืนหน้า (DE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0404,,ลูกปืนหลัง (NDE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0404,,ใบพัดลมระบายความร้อน ,,,,,,,,,,,,,,
,KI1-EM-ACM-0405,,โครงมอเตอร์,,,,,,,,,,,,,,
,KI1-EM-ACM-0405,,ลูกปืนหน้า (DE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0405,,ลูกปืนหลัง (NDE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0405,,ใบพัดลมระบายความร้อน ,,,,,,,,,,,,,,
,KI1-EM-ACM-0406,,โครงมอเตอร์,,,,,,,,,,,,,,
,KI1-EM-ACM-0406,,ลูกปืนหน้า (DE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0406,,ลูกปืนหลัง (NDE Bearing) ,,,,,,,,,,,,,,
,KI1-EM-ACM-0406,,ใบพัดลมระบายความร้อน ,,,,,,,,,,,,,,
,KI1-EM-ACM-0407,,โครงมอเตอร์,,,,,,,,,,,,,,
