isrun,idmachine,namemachine,nameeng,sizemachine,capacity,Power,point,model,nummachine,usejob,capability,manufacturer,machineinclude,genration,energy,create_date,create_by,update_date,update_by,division,machinegroupid,fis_refcode,out
1,KI1-EM-SWG-0001,ตู้สวิทช์เกียร์ Gen 1,Switchgear,313,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
2,KI1-EM-SWG-0002,ตู้สวิทช์เกียร์ Gen 2,Switchgear,313,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
3,KI1-EM-SWG-0003,ตู้สวิทช์เกียร์จ่ายคาปาซิเตอร์ 1750 kVar Gen2,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
4,KI1-EM-SWG-0004,ตู้สวิทช์เกียร์ขายไฟ ไลน์คง 8MW,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
5,KI1-EM-SWG-0005,ตู้สวิทช์เกียร์จ่ายหม้อต้ม,Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
6,KI1-EM-SWG-0006,ตู้สวิทช์เกียร์จ่ายหม้อปั่น A2 และรีไฟน์,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
7,KI1-EM-SWG-0007,ตู้สวิทช์เกียร์จ่ายลูกหีบ,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
8,KI1-EM-SWG-0008,ตู้สวิทช์เกียร์จ่ายมอเตอร์ขับลูกหีบ,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
9,KI1-EM-SWG-0009,ตู้สวิทช์เกียร์จ่ายหม้อน้ำ,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
10,KI1-EM-SWG-0010,ตู้สวิทช์เกียร์จ่ายมอเตอร์แรงสูงหม้อน้ำ,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
11,KI1-EM-SWG-0011,ตู้สวิทช์เกียร์จ่ายมอเตอร์แรงสูงปั๊มคอนเดนเซอร์,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
12,KI1-EM-SWG-0012,ตู้สวิทช์เกียร์จ่ายหม้อปั่นA1,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
13,KI1-EM-SWG-0013,ตู้สวิทช์เกียร์จ่ายหม้อปั่นB,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
14,KI1-EM-SWG-0014,ตู้สวิทช์เกียร์จ่ายหม้อปั่นR,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
15,KI1-EM-SWG-0015,ตู้สวิทช์เกียร์สแปร์ (จ่ายโหลดทั่วไปหน้าซ่อมSERVICE LINE เก่า ),Switchgear,,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
16,KI1-EM-SWG-0016,ตู้สวิทช์เกียร์จ่ายหม่อปั่นC,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
17,KI1-EM-SWG-0017,ตู้สวิทช์เกียร์จ่ายหม้อปั่นA3,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
18,KI1-EM-SWG-0018,ตู้สวิทช์เกียร์จ่ายขึ้น SELECTIONBUS จาก GEN 1 - Gen 2,Switchgear,315,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
19,KI1-EM-SWG-0019,ตู้สวิทช์เกียร์จ่ายอาคารไฟฟ้า โรงกลึง ยานยนต์,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
20,KI1-EM-SWG-0020,ตู้สวิทช์เกียร์จ่ายคาปาซิเตอร์ 3500 kVar Gen1,Switchgear,314,,,,,,,,,,,,10/12/2020,Admin,,,20,326,,
